City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
209,gadzhiyevo,69.2551,33.3362,7.81,56,8,4.11,RU,2023-05-25
210,kalaleh,37.3807,55.4916,23.1,53,60,0.43,IR,2023-05-25
211,salym,60.0625,71.4789,7.9,62,1,1.89,RU,2023-05-25
212,kansk,56.2017,95.7175,5.06,66,88,1.43,RU,2023-05-25
213,nikolayevsk-on-amure,53.1406,140.73,9.47,75,100,1.8,RU,2023-05-25
214,siwa oasis,29.2041,25.5195,27.92,32,100,9.11,EG,2023-05-25
215,udachny,66.4167,112.4,1.92,59,99,4.48,RU,2023-05-25
216,garissa,-0.4536,39.6401,24.35,76,25,6.9,KE,2023-05-25
217,sakakah,29.9697,40.2064,22.76,22,2,6.53,SA,2023-05-25
218,zgurovka,50.5028,31.7849,15.19,84,83,1.71,UA,2023-05-25
219,rengasdengklok,-6.1592,107.2981,25.07,81,51,1.73,ID,2023-05-25
220,jean-rabel,19.8533,-73.1917,28.47,69,0,4.73,HT,2023-05-25
221,enewetak,11.3474,162.3373,27.93,77,97,6.9,MH,2023-05-25
222,nar'yan-mar,67.6713,53.087,15.17,90,73,6.21,RU,2023-05-25
223,takoradi,4.8845,-1.7554,27.18,83,62,3.31,GH,2023-05-25
224,bathsheba,13.2167,-59.5167,28.34,83,40,4.63,BB,2023-05-25
225,khilok,51.3674,110.4676,3.86,60,97,5.83,RU,2023-05-25
226,faya-largeau,17.9257,19.1043,35.08,12,0,3.13,TD,2023-05-25
227,kuanda,56.3161,116.0806,4.06,98,100,1.75,RU,2023-05-25
228,hounde,11.5,-3.5167,28.46,60,81,2.44,BF,2023-05-25
229,oban,56.4127,-5.4706,8.54,87,14,1.75,GB,2023-05-25
230,penzance,50.1186,-5.5371,13.38,88,37,4.55,GB,2023-05-25
231,launceston,-41.45,147.1667,9.33,83,57,6.17,AU,2023-05-25
232,andergrove,-21.0833,149.1833,23.69,71,82,3.5,AU,2023-05-25
233,hermanus,-34.4187,19.2345,9.89,66,29,6.23,ZA,2023-05-25
234,pontianak,-0.0333,109.3333,23.99,94,20,3.09,ID,2023-05-25
235,meadow lakes,61.6247,-149.6011,14.05,65,20,0.0,US,2023-05-25
236,lorengau,-2.0226,147.2712,27.23,78,100,1.32,PG,2023-05-25
237,khash,28.2211,61.2158,22.74,18,17,1.87,IR,2023-05-25
238,geraldton,-28.7667,114.6,12.23,62,21,4.12,AU,2023-05-25
239,nguigmi,14.2495,13.1092,32.22,34,5,2.88,NE,2023-05-25
240,neryungri,56.6709,124.6491,7.11,61,100,5.37,RU,2023-05-25
241,correntina,-13.3433,-44.6367,26.11,45,46,4.31,BR,2023-05-25
242,merritt,50.1123,-120.7942,24.07,32,81,1.34,CA,2023-05-25
243,mao,39.8885,4.2658,17.31,100,72,2.57,ES,2023-05-25
244,palikir - national government center,6.9248,158.1611,28.47,84,75,3.09,FM,2023-05-25
245,bengkulu,-3.8004,102.2655,25.32,86,68,1.96,ID,2023-05-25
246,labytnangi,66.6572,66.4183,13.82,76,89,3.05,RU,2023-05-25
